"Product Name","Product Code","Buy Rate","Sale Rate","Measurement Units","Description","Current Stock","Minimum Stock","Opening Stock","Opening Stock Rate","Opening Date","Tax Rate","Tax List"
"Pendrive 2.0","N/A","280.0","340.0","N/A","SanDisk","3.0","0.0","0.0","0.0","16 July 2024","0.0%","N/A"
"Pendrive 2.0 64gb","N/A","380.0","420.0","N/A","N/A","3.0","0.0","0.0","0.0","08 July 2024","0.0%","N/A"
"Lan Wire 2mtrs","N/A","40.0","0.0","N/A","N/A","5.0","0.0","0.0","0.0","01 August 2024","0.0%","N/A"
"Sata Power","N/A","20.0","0.0","N/A","N/A","4.0","0.0","0.0","0.0","01 August 2024","0.0%","N/A"
"Windows 7","N/A","0.0","350.0","N/A","N/A","-1.0","0.0","0.0","0.0","01 August 2024","0.0%","N/A"
"CMOS","N/A","6.0","10.0","N/A","N/A","17.0","0.0","0.0","0.0","06 August 2024","0.0%","N/A"
"Bluetooth Dongle USB","N/A","90.0","0.0","N/A","N/A","1.0","0.0","0.0","0.0","13 August 2024","0.0%","N/A"
"Motherboard Gigabyte 610MK","N/A","6100.0","7000.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.0%","N/A"
"WD 500 Gb Nvme","N/A","2800.0","3000.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.0%","N/A"
"8gb Ddr4 Hynix Ram","N/A","1050.0","1400.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.0%","N/A"
"i5 12400 12th Generation","N/A","12000.0","13000.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.0%","N/A"
"UPS","N/A","1700.0","2000.0","N/A","Intex","0.0","0.0","0.0","0.0","14 July 2024","0.0%","N/A"
"Matrix 9 install","N/A","0.0","450.0","N/A","N/A","16.0","0.0","20.0","0.0","10 July 2024","0.0%","N/A"
"Dell Keyboard","N/A","440.0","500.0","N/A","N/A","2.0","0.0","0.0","0.0","02 August 2024","0.0%","N/A"
"Wifi Dongle USB","N/A","150.0","200.0","N/A","N/A","2.0","0.0","0.0","0.0","16 July 2024","0.0%","N/A"
"Pendrive 3.2 64 gb kingston","N/A","380.0","500.0","N/A","N/A","3.0","0.0","0.0","0.0","01 July 2024","0.0%","N/A"
"Keyboard Replacement","N/A","500.0","0.0","N/A","MSI","1.0","0.0","0.0","0.0","14 July 2024","0.0%","N/A"
"Ssd M.2 Single Cut 512gb","N/A","2550.0","3500.0","N/A","consistent","1.0","0.0","0.0","0.0","20 July 2024","0.0%","N/A"
"128 Sata Ssd","N/A","700.0","0.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.0%","N/A"
"Ram Ddr3 4gb Laptop","N/A","300.0","0.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.0%","N/A"
"Keyboard Hp Laptop (Rinki Wala)","N/A","400.0","0.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.0%","N/A"
"Charger","65w","350.0","800.0","N/A","Techie","6.0","0.0","0.0","0.0","09 July 2024","0.0%","N/A"
"Dell Latitude i7 2nd/ 4gb/ 750gb","N/A","7500.0","8000.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.0%","N/A"
"HDD 500gb Desktop","N/A","650.0","1500.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.0%","N/A"
"SSD 500 CONSISTENT","N/A","2000.0","2500.0","N/A","m.2 single cut consistent","N/A","N/A","N/A","N/A","N/A","0.0%","N/A"
"Windows And Services","N/A","0.0","1500.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.0%","N/A"
"Dell Latitude 7480 i5 7th/8gb/256gb Black","N/A","16200.0","19000.0","N/A","N/A","0.0","0.0","0.0","0.0","01 September 2024","0.0%","N/A"
"Sennheiser SC 60 USB","N/A","3500.0","4000.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.0%","N/A"
"Battery","Dell","1150.0","1700.0","N/A","techie","0.0","0.0","0.0","0.0","08 July 2024","0.0%","N/A"
"SMPS","N/A","400.0","550.0","N/A","N/A","4.0","0.0","0.0","0.0","07 August 2024","0.0%","N/A"
"Sata Cables","N/A","15.0","50.0","N/A","N/A","9.0","0.0","0.0","0.0","01 August 2024","0.0%","N/A"
"Desktop Service","N/A","0.0","300.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.0%","N/A"
"Power Button","N/A","20.0","50.0","N/A","N/A","2.0","0.0","0.0","0.0","01 August 2024","0.0%","N/A"
"Laptop Power Cable","N/A","39.0","50.0","N/A","N/A","16.0","0.0","0.0","0.0","29 July 2024","0.0%","N/A"
"Power Cable","N/A","40.0","90.0","N/A","Desktop","5.0","0.0","0.0","0.0","16 July 2024","0.0%","N/A"
"Dell Original Charger 65W","N/A","750.0","950.0","N/A","N/A","0.0","0.0","0.0","0.0","01 September 2024","0.0%","N/A"
"Dell 5400 i5 8th/8gb/258gb","N/A","17250.0","22000.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.0%","N/A"
"2 TB WD external","N/A","6100.0","6650.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.0%","N/A"
"VGA","N/A","60.0","100.0","N/A","Cable 1.5 mtrs","4.0","0.0","0.0","0.0","16 July 2024","0.0%","N/A"
"Zebronics Robust Black","N/A","2099.0","0.0","N/A","N/A","0.0","0.0","0.0","0.0","07 October 2024","0.0%","N/A"
"Ant Cv100 White","N/A","2090.0","0.0","N/A","N/A","1.0","0.0","0.0","0.0","07 October 2024","0.0%","N/A"
"Ant Esports Elite 1100 Black","N/A","1749.0","0.0","N/A","N/A","1.0","0.0","0.0","0.0","07 October 2024","0.0%","N/A"
"Zebronics Cronus Black","N/A","2199.0","0.0","N/A","N/A","1.0","0.0","0.0","0.0","07 October 2024","0.0%","N/A"
"Zebronics Robust White","N/A","2099.0","0.0","N/A","N/A","1.0","0.0","0.0","0.0","07 October 2024","0.0%","N/A"
"Zebronics Mercury Black","N/A","2399.0","2500.0","N/A","N/A","2.0","0.0","0.0","0.0","07 October 2024","0.0%","N/A"
"Dell 7280 i5 5th/8gb/256gb","N/A","12500.0","0.0","N/A","N/A","1.0","0.0","0.0","0.0","10 October 2024","0.0%","N/A"
"Charger 18.5v","65w","300.0","0.0","N/A","Techie","1.0","0.0","0.0","0.0","16 October 2024","0.0%","N/A"
"Zebronics Mercury (White)","N/A","2499.0","0.0","N/A","N/A","1.0","0.0","0.0","0.0","16 October 2024","0.0%","N/A"
"keyboard silicone cover","N/A","16.0","0.0","N/A","N/A","5.0","0.0","0.0","0.0","13 October 2024","0.0%","N/A"
"V3 Cable","N/A","40.0","0.0","N/A","N/A","2.0","0.0","0.0","0.0","13 October 2024","0.0%","N/A"
"Dell Original Charger 90w patla pin","N/A","1450.0","0.0","N/A","N/A","0.0","0.0","0.0","0.0","05 November 2024","0.0%","N/A"
"Laptop Stand","N/A","200.0","0.0","N/A","N/A","0.0","0.0","0.0","0.0","05 November 2024","0.0%","N/A"
"SD card 32gb","N/A","220.0","0.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.0%","N/A"
"laptop (Rinki Wala)","N/A","0.0","5650.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.0%","N/A"
"Board repair","N/A","300.0","0.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.0%","N/A"
"Macbook Pro 2015 i5/8gb/512gb","N/A","16500.0","20000.0","N/A","N/A","0.0","0.0","0.0","0.0","12 October 2024","0.0%","N/A"
"Macbook Charger (Compatible)","N/A","1000.0","1000.0","N/A","N/A","0.0","0.0","0.0","0.0","12 October 2024","0.0%","N/A"
"Dell 7350 M-5Y71C 8gb/256gb (Detachable) 2 In 1","N/A","10000.0","0.0","N/A","N/A","1.0","0.0","0.0","0.0","12 October 2024","0.0%","N/A"
"Dell Mouse","N/A","210.0","270.0","N/A","N/A","-1.0","0.0","0.0","0.0","01 January 2024","0.0%","N/A"
"Crucial 500 Gb Nvme","N/A","2950.0","0.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.0%","N/A"
"128 Gb Nvme Single Cut","N/A","1100.0","1900.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.0%","N/A"
"CAT6 LAN 60MTRS","N/A","1200.0","0.0","N/A","N/A","1.0","0.0","0.0","0.0","13 December 2024","0.0%","N/A"
"RJ-45","N/A","5.0","0.0","N/A","N/A","30.0","0.0","0.0","0.0","13 December 2024","0.0%","N/A"
"LAN tester(with cell)","N/A","170.0","0.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.0%","N/A"
"Crimping tool","N/A","320.0","0.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.0%","N/A"
"8 port Swith","N/A","650.0","0.0","N/A","N/A","1.0","0.0","0.0","0.0","13 December 2024","0.0%","N/A"
"LAN jointer","N/A","10.0","0.0","N/A","N/A","10.0","0.0","0.0","0.0","13 December 2024","0.0%","N/A"
"magics","N/A","0.0","500.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.0%","N/A"
"Win 10","N/A","0.0","350.0","N/A","N/A","16.0","0.0","20.0","0.0","29 July 2024","0.0%","N/A"
"Sato To 3.0 Converter","N/A","180.0","300.0","N/A","N/A","7.0","0.0","0.0","0.0","16 July 2024","0.0%","N/A"
"i7 4th/16gb Ram/256gb Ssd/1tb Hdd/2gb Graphics/Samsung 22/Dell Keyboard Mouse","N/A","18350.0","28000.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.0%","N/A"
"fan","N/A","100.0","300.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.0%","N/A"
"AUX","N/A","30.0","0.0","N/A","N/A","3.0","0.0","0.0","0.0","09 February 2025","0.0%","N/A"
"AUX premium","N/A","35.0","0.0","N/A","N/A","2.0","0.0","0.0","0.0","09 February 2025","0.0%","N/A"
"Usb hub 2.0 quantron","N/A","120.0","0.0","N/A","N/A","0.0","0.0","0.0","0.0","09 February 2025","0.0%","N/A"
"thunderbolt to vga","N/A","150.0","0.0","N/A","vga output for macbook","0.0","0.0","0.0","0.0","10 March 2025","0.0%","N/A"
"sata to usb 12 volt","N/A","450.0","0.0","N/A","N/A","0.0","0.0","0.0","0.0","10 March 2025","0.0%","N/A"
"C6N camera","N/A","1400.0","0.0","N/A","N/A","0.0","0.0","0.0","0.0","10 March 2025","0.0%","N/A"
"128 gb SD card","N/A","500.0","0.0","N/A","N/A","0.0","0.0","0.0","0.0","10 March 2025","0.0%","N/A"
"1tb seagate external","N/A","5300.0","0.0","N/A","N/A","-1.0","0.0","0.0","0.0","10 March 2025","0.0%","N/A"
"HP KB/MOUSE wl","N/A","1050.0","0.0","N/A","N/A","-1.0","0.0","0.0","0.0","10 March 2025","0.0%","N/A"
"m.2 to usb case","N/A","480.0","0.0","N/A","N/A","0.0","0.0","0.0","0.0","10 March 2025","0.0%","N/A"
